address,category,comment,latitude,longitude,ramp,lowered_curb,tactile_marking,traffic_light_sound,accessible_restroom,entrance level_sidewalk,elevator,hoist,swaddling_room,accessible_parking
"Сквер на проспекті Голосіївському, 5-15","Парки, сквери",Пандуси,50.4029669877851,30.519061422545438,True,False,False,False,False,False,False,False,False,False
Парк Рильського,"Парки, сквери",Понижений бордюр та місця для заїзду колясок; Дитячий майданчик; Гойдалка та похила гірка для дітей з особливими потребами,50.38987694327977,30.50053835583728,False,True,False,False,False,False,False,False,False,False
"Сквер на вул. Героїв Маріуполя, 2-Г","Парки, сквери","Безбар’єрний доступ, елементи інклюзивності на дитячому майданчику відсутні, присутнє зовнішнє освітлення-сонячні ледпанелі.",50.37867586338308,30.45827582516773,False,False,False,False,False,False,False,False,False,False
"Сквер на вул. Лятошинського, 26-Б","Парки, сквери","Безбар’єрний доступ, елементи інклюзивності на дитячому майданчику відсутні, присутнє зовнішнє освітлення-сонячні ледпанелі.",50.38097288318729,30.448705182040538,False,False,False,False,False,False,False,False,False,False
"Сквер на вул. Лятошинського, 24, 26-А, 28","Парки, сквери","Пологий заїзд, елементи інклюзивності на дитячому майданчику відсутні.",50.38077751333412,30.44613993470245,False,True,False,False,False,False,False,False,False,False
"Сквер на просп. Голосіївський, 114, корпус 2","Парки, сквери",,50.386655265595664,30.488491135337856,True,False,False,False,False,False,False,False,False,False
"Сквер на просп. Голосіївський, 108","Парки, сквери",,50.388140332780594,30.49457125628376,False,True,False,False,False,False,False,False,False,False
Сквер на розі вулиці та провулку Деміївська,"Парки, сквери",,50.403116093839145,30.512506003493588,False,True,False,False,False,False,False,False,False,False
"Сквер на просп. Науки 4-А, 4-Б","Парки, сквери",,50.40580376165428,30.521026806497225,False,True,False,False,False,False,False,False,False,False
Сквер на розі вул. Голосіївська та просп. Науки,"Парки, сквери",,50.40361304103756,30.52455283541284,False,True,False,False,False,False,False,False,False,False
"Сквер на вул. Писаржевського та вул. Іртишська, 8-А","Парки, сквери",,50.39648604033374,30.53387721609702,False,True,False,False,False,False,False,False,False,False
"Сквер на вул. Тарасівська, 23/25 ","Парки, сквери",Дитячий майданчик,50.435561440753816,30.506509541437115,False,False,False,False,False,False,False,False,False,False
Сквер на вул. Паньківська,"Парки, сквери",,50.44036822541978,30.50490618497544,False,True,False,False,False,False,False,False,False,False
"Сквер на просп. Глушкова, 9-В, Г, Д","Парки, сквери",,50.37140906582342,30.46342374690389,False,True,False,False,False,False,False,False,False,False
Парк «Партизанської Слави»,"Парки, сквери",Громадська вбиральня; Дитячий майданчик; Інклюзивна лава,50.41698058434741,30.66550224593462,False,False,False,False,True,False,False,False,False,False
Парк на Дніпровській набережній в районі затоки Берковщина ,"Парки, сквери","Громадська вбиральня; Інклюзивна лава; Безбар’єрна доріжка. 
<br>У парку влаштовані підходи і підʼїзди з нормативною шириною та ухилом. У місцях перепаду висот є пандуси з інклюзивними поручнями та пониженням бортового каменю. На пішохідних доріжках тактильна плитка для сигналізації та орієнтування людей з порушенням зору та інших користувачів. Дитячий майданчик має інклюзивні елементи. ",50.40872951249703,30.60087535204936,False,False,False,False,True,False,False,False,False,False
Фітнес-парк біля озера Лебедине ,"Парки, сквери",Громадська вбиральня; Дитячий майданчик; Безбар’єрна доріжка,50.40328695840087,30.64392242459559,False,False,False,False,True,False,False,False,False,False
Парк з водними об’єктами вздовж просп. Шухевича (між просп. Червоної Калини та вул. Бальзака),"Парки, сквери","Громадська вбиральня – обладнана для осіб, що пересуваються на кріслах колісних",50.496366271773546,30.58624069383461,True,False,False,False,True,False,False,False,False,False
Парк «Фестивальний (вздовж просп. Червоної Калини від вул. Лифаря до вул. Драйзера),"Парки, сквери",,50.51023771981719,30.609735810044715,True,False,False,False,False,False,False,False,False,False
Сквер ім. В’ячеслава Веремія,"Парки, сквери",,50.50504067422471,30.587765389419925,True,False,True,False,False,False,False,False,False,False
Парк БК ДВРЗ,"Парки, сквери",,50.45206173120589,30.67825880548764,True,False,False,False,False,False,False,False,False,False
Парк біля озера Тельбін,"Парки, сквери",,50.42650779358285,30.60677403913424,True,False,False,False,False,False,False,False,False,False
Парк «Перемога»,"Парки, сквери",Пандуси; Громадська вбиральня – кабіна для людей з інвалідністю,50.46131538716379,30.605804703898134,True,False,False,False,True,False,False,False,False,False
Парк на Микільсько-Слобідській «Зона здоров’я»,"Парки, сквери",Дитячий майданчик,50.45632535743026,30.58334358034758,False,False,False,False,False,False,False,False,False,False
Парк відпочинку «Наталка» та парк відпочинку в урочищі «Наталка»,"Парки, сквери",Громадська вбиральня; Тактильна смуга; Дитячий майданчик; Пандуси,50.496262639216106,30.52362278410165,True,False,True,False,True,False,False,False,False,False
"Сквер на площі Оболонська, 6","Парки, сквери",,50.50086774633724,30.50203361071293,True,False,False,False,False,False,False,False,False,False
Сквер по вул. Героїв Дніпра біля будинків № 35-37,"Парки, сквери",Пандуси; Тактильна плитка та Тактильні напрямки руху; понижені борти між асфальтом та пішохідним переходом; візуальна розмітка сходів,50.52285119090034,30.491204760261827,True,True,True,False,False,False,False,False,False,False
Парк «Юність»,"Парки, сквери",Дитячий майданчик інклюзивний,50.44112701942676,30.46581669580851,False,False,False,False,False,False,False,False,False,False
Парк «Потапова»,"Парки, сквери",,50.42465937665239,30.38742751496446,True,False,False,False,False,False,False,False,False,False
Парк «Совки»,"Парки, сквери",Громадська вбиральня; Дитячий майданчик,50.43904493336451,30.37471504004999,False,False,False,False,True,False,False,False,False,False
Парк «Інтернаціональний»,"Парки, сквери",,50.43068513860139,30.38109148642364,True,False,False,False,False,False,False,False,False,False
"Сквер вул. Чорнобильська, 12","Парки, сквери",,50.45899550318437,30.34762355987571,True,False,False,False,False,False,False,False,False,False
"Сквер вул. Чорнобильська, 3","Парки, сквери",,50.45600277315481,30.34473805148998,True,False,False,False,False,False,False,False,False,False
Сквер біля школи №304 вул. Прилужна,"Парки, сквери",,50.460570358002286,30.341778527208703,True,False,False,False,False,False,False,False,False,False
"Парк ""Відрадний""","Парки, сквери",Дитячий майданчик; Два пандуси; Громадська вбиральня - санітарно-гігієнічне приміщення; Дитячий майданчик,50.43322017600319,30.42653082147552,True,False,False,False,True,False,False,False,False,False
Парк «Орлятко»,"Парки, сквери",Поручні; Тактильна плитка,50.44421415996824,30.4277730065183,False,False,True,False,False,False,False,False,False,False
Парк ім. М. Зерова,"Парки, сквери",Поручні; Три пандуси; Громадська вбиральня - санітарно-гігієнічне приміщення,50.430371321391526,30.46944522176908,True,False,False,False,True,False,False,False,False,False
Сквер ім. Б. Немцова,"Парки, сквери",Поручні; Два пандуси,50.43532268744509,30.47316035094631,True,False,False,False,False,False,False,False,False,False
Сквер біля кінотеатру «Супутник»,"Парки, сквери",Тактильна плитка,50.43839375107784,30.45836442789603,False,False,True,False,False,False,False,False,False,False
Сквер на розі вул. М. Донця та проспекту Відрадного,"Парки, сквери",Тактильна плитка,50.433965467900826,30.43295019335565,False,False,True,False,False,False,False,False,False,False
Сквер по вул. В. Гетьмана ,"Парки, сквери",Поручні; Два пандуси,50.45186191748821,30.44563877040326,True,False,False,False,False,False,False,False,False,False
"Сквер по вул. Машинобудівній, 25-А ","Парки, сквери",Поручні; Тактильна плитка,50.4471300322941,30.43686157418796,True,False,True,False,False,False,False,False,False,False
Парк ім. Т.Г. Шевченка,"Парки, сквери",,50.44176112342,30.51295167271248,True,False,False,False,False,False,False,False,False,False
Сквер на розі вул. О. Гончара та вул. М. Коцюбинського ,"Парки, сквери",Дитячий майданчик,50.44954492711168,30.50262272514489,False,False,False,False,False,False,False,False,False,False
Сквер ім. О. Гончара,"Парки, сквери",,50.44908803205016,30.50431983554765,True,False,False,False,False,False,False,False,False,False
"Сквер на вул. Січових Стрільців, 80-84","Парки, сквери",,50.458028959578186,30.486572545603916,True,False,False,False,False,False,False,False,False,False
"Сквер на вул. Січових Стрільців, 89-А","Парки, сквери",,50.45801633367071,30.485509765421742,True,False,False,False,False,False,False,False,False,False
Парк «Веселка»,"Парки, сквери","Громадська вбиральня, пандус",50.47309015045639,30.39757133502755,True,False,False,False,True,False,False,False,False,False
Парк Сирецький,"Парки, сквери","Дитячий майданчик, Громадська вбиральня, Пандус",50.46764638136218,30.438645463854908,True,False,False,False,True,False,False,False,False,False
Народницький парк,"Парки, сквери",Пандус в центральній частині парку,50.42912074211961,30.56887072119025,True,False,False,False,False,False,False,False,False,False
Парк-пам’ятка садово-паркового мистецтва «Хрещатий»,"Парки, сквери",,50.453306301637866,30.531668915607117,True,False,False,False,False,False,False,False,False,False
Бульвар Лесі Українки,"Парки, сквери",,50.42963482700551,30.53644090517325,False,True,False,False,False,False,False,False,False,False
"Пляж ""Пуща-Водиця""","Парки, сквери","Виконані капітальні роботи з урахуванням потреб маломобільних груп населення. 
<br>Влітку на цих пляжах влаштовуються громадські вбиральні з окремими кабінами для маломобільних груп населення, входи і шляхи руху там виконані з урахуванням можливості пересування людей з інвалідністю. Облаштовуються деревʼяні або синтетичні доріжки для безперешкодного доступу до водойми. На окремих ділянках пляжів - перепланування, щоб забезпечити мінімальний кут нахилу шляхів - для зручності пересування маломобільних груп населення.  
<br>Лайфгарди-рятувальники за допомогою крісел-амфібій для купання допомагають людям з інвалідністю. ",50.54159354116855,30.34615144366268,False,False,False,False,False,False,False,False,False,False
"Пляж ""Золотий""","Парки, сквери","Виконані капітальні роботи з урахуванням потреб маломобільних груп населення. 
<br>Влітку на цих пляжах влаштовуються громадські вбиральні з окремими кабінами для маломобільних груп населення, входи і шляхи руху там виконані з урахуванням можливості пересування людей з інвалідністю. Облаштовуються деревʼяні або синтетичні доріжки для безперешкодного доступу до водойми. На окремих ділянках пляжів - перепланування, щоб забезпечити мінімальний кут нахилу шляхів - для зручності пересування маломобільних груп населення.  
<br>Лайфгарди-рятувальники за допомогою крісел-амфібій для купання допомагають людям з інвалідністю. ",50.43160676935731,30.58279937020787,False,False,False,False,False,False,False,False,False,False
"Пляж ""Дитячий""","Парки, сквери","Виконані капітальні роботи з урахуванням потреб маломобільних груп населення. 
<br>Влітку на цих пляжах влаштовуються громадські вбиральні з окремими кабінами для маломобільних груп населення, входи і шляхи руху там виконані з урахуванням можливості пересування людей з інвалідністю. Облаштовуються деревʼяні або синтетичні доріжки для безперешкодного доступу до водойми. На окремих ділянках пляжів - перепланування, щоб забезпечити мінімальний кут нахилу шляхів - для зручності пересування маломобільних груп населення.  
<br>Лайфгарди-рятувальники за допомогою крісел-амфібій для купання допомагають людям з інвалідністю. ",50.52092318714055,30.52257044939377,False,False,False,False,False,False,False,False,False,False
"Пляж ""Венеція""","Парки, сквери","Виконані капітальні роботи з урахуванням потреб маломобільних груп населення. 
<br>Влітку на цих пляжах влаштовуються громадські вбиральні з окремими кабінами для маломобільних груп населення, входи і шляхи руху там виконані з урахуванням можливості пересування людей з інвалідністю. Облаштовуються деревʼяні або синтетичні доріжки для безперешкодного доступу до водойми. На окремих ділянках пляжів - перепланування, щоб забезпечити мінімальний кут нахилу шляхів - для зручності пересування маломобільних груп населення.  ",50.449718399171886,30.576508029724906,False,False,False,False,False,False,False,False,False,False
"Пляж ""Молодіжний""","Парки, сквери","Виконані капітальні роботи з урахуванням потреб маломобільних груп населення. 
<br>Влітку на цих пляжах влаштовуються громадські вбиральні з окремими кабінами для маломобільних груп населення, входи і шляхи руху там виконані з урахуванням можливості пересування людей з інвалідністю. Облаштовуються деревʼяні або синтетичні доріжки для безперешкодного доступу до водойми. На окремих ділянках пляжів - перепланування, щоб забезпечити мінімальний кут нахилу шляхів - для зручності пересування маломобільних груп населення.  ",50.4685472088642,30.572838236927545,False,False,False,False,False,False,False,False,False,False
"Пляж ""Троєщина""","Парки, сквери","Виконані капітальні роботи з урахуванням потреб маломобільних груп населення. 
<br>Влітку на цих пляжах влаштовуються громадські вбиральні з окремими кабінами для маломобільних груп населення, входи і шляхи руху там виконані з урахуванням можливості пересування людей з інвалідністю. Облаштовуються деревʼяні або синтетичні доріжки для безперешкодного доступу до водойми. На окремих ділянках пляжів - перепланування, щоб забезпечити мінімальний кут нахилу шляхів - для зручності пересування маломобільних груп населення.  
<br>Лайфгарди-рятувальники за допомогою крісел-амфібій для купання допомагають людям з інвалідністю. ",50.50692419830765,30.56817950618977,False,False,False,False,False,False,False,False,False,False
"Пляж ""Чорторий""","Парки, сквери","Виконані капітальні роботи з урахуванням потреб маломобільних груп населення. 
<br>Влітку на цих пляжах влаштовуються громадські вбиральні з окремими кабінами для маломобільних груп населення, входи і шляхи руху там виконані з урахуванням можливості пересування людей з інвалідністю. Облаштовуються деревʼяні або синтетичні доріжки для безперешкодного доступу до водойми. На окремих ділянках пляжів - перепланування, щоб забезпечити мінімальний кут нахилу шляхів - для зручності пересування маломобільних груп населення.  ",50.493963901629535,30.53861376946536,False,False,False,False,False,False,False,False,False,False
"Пляж ""Галерний""","Парки, сквери","Має пандус, щоб до пляжу був доступ з вулиці Набережно-Корчуватської.",50.37007984267951,30.553527138663327,True,False,False,False,False,False,False,False,False,False
"Пляж ""Вербний""","Парки, сквери",Спортивний майданчик для людей з інвалідністю,50.49184079912683,30.51670156744992,False,False,False,False,False,False,False,False,False,False
